Experiment: DH_23.01.31_FET-siRNAs  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	11.23		0	
True	255	A2	Sample 2	11.20		0	
True	255	A3	Sample 3	11.22		0	
True	255	A4	Sample 4	11.29		0	
True	255	A5	Sample 5	11.31		0	
True	255	A6	Sample 6	11.20		0	
True	255	A7	Sample 7	10.85		0	
True	255	A8	Sample 8	10.86		0	
True	255	A9	Sample 9	10.92		0	
True	255	A10	Sample 10	10.80		0	
True	255	A11	Sample 11	10.83		0	
True	255	A12	Sample 12	10.83		0	
True	255	A13	Sample 13	11.36		0	
True	255	A14	Sample 14	10.97		0	
True	255	A15	Sample 15	10.99		0	
True	255	A16	Sample 16	10.91		0	
True	255	A17	Sample 17	11.02		0	
True	255	A18	Sample 18	11.03		0	
True	255	A19	Sample 19	11.33		0	
True	255	A20	Sample 20	11.44		0	
True	255	A21	Sample 21	11.50		0	
True	255	A22	Sample 22	11.73		0	
True	255	A23	Sample 23	11.82		0	
True	255	A24	Sample 24	11.63		0	
True	255	B1	Sample 25	10.90		0	
True	255	B2	Sample 26	10.88		0	
True	255	B3	Sample 27	10.91		0	
True	255	B4	Sample 28	10.94		0	
True	255	B5	Sample 29	10.98		0	
True	255	B6	Sample 30	10.95		0	
True	65280	B7	Sample 31			0	
True	65280	B8	Sample 32			0	
True	65280	B9	Sample 33			0	
True	65280	B10	Sample 34			0	
True	65280	B11	Sample 35			0	
True	65280	B12	Sample 36			0	
True	65280	B13	Sample 37			0	
True	65280	B14	Sample 38			0	
True	65280	B15	Sample 39			0	
True	65280	B16	Sample 40			0	
True	65280	B17	Sample 41			0	
True	65280	B18	Sample 42			0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	21.74		0	
True	255	C2	Sample 50	21.76		0	
True	255	C3	Sample 51	21.72		0	
True	255	C4	Sample 52	21.62		0	
True	255	C5	Sample 53	21.65		0	
True	255	C6	Sample 54	21.67		0	
True	255	C7	Sample 55	21.61		0	
True	255	C8	Sample 56	21.60		0	
True	255	C9	Sample 57	21.58		0	
True	255	C10	Sample 58	21.43		0	
True	255	C11	Sample 59	21.42		0	
True	255	C12	Sample 60	21.61		0	
True	255	C13	Sample 61	21.59		0	
True	255	C14	Sample 62	21.60		0	
True	255	C15	Sample 63	21.55		0	
True	255	C16	Sample 64	21.69		0	
True	255	C17	Sample 65	21.63		0	
True	255	C18	Sample 66	21.66		0	
True	255	C19	Sample 67	21.56		0	
True	255	C20	Sample 68	21.61		0	
True	255	C21	Sample 69	21.59		0	
True	255	C22	Sample 70	21.36		0	
True	255	C23	Sample 71	21.28		0	
True	255	C24	Sample 72	21.45		0	
True	255	D1	Sample 73	21.51		0	
True	255	D2	Sample 74	21.50		0	
True	255	D3	Sample 75	21.49		0	
True	255	D4	Sample 76	21.52		0	
True	255	D5	Sample 77	21.54		0	
True	255	D6	Sample 78	21.54		0	
True	65280	D7	Sample 79			0	
True	65280	D8	Sample 80			0	
True	65280	D9	Sample 81			0	
True	65280	D10	Sample 82			0	
True	65280	D11	Sample 83			0	
True	65280	D12	Sample 84			0	
True	65280	D13	Sample 85			0	
True	65280	D14	Sample 86			0	
True	65280	D15	Sample 87			0	
True	65280	D16	Sample 88			0	
True	65280	D17	Sample 89			0	
True	65280	D18	Sample 90			0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	23.46		0	
True	255	E2	Sample 98	23.49		0	
True	255	E3	Sample 99	23.46		0	
True	255	E4	Sample 100	23.27		0	
True	255	E5	Sample 101	23.27		0	
True	255	E6	Sample 102	23.25		0	
True	255	E7	Sample 103	25.52		0	
True	255	E8	Sample 104	25.34		0	
True	255	E9	Sample 105	25.48		0	
True	255	E10	Sample 106	25.22		0	
True	255	E11	Sample 107	25.31		0	
True	255	E12	Sample 108	25.19		0	
True	255	E13	Sample 109	23.16		0	
True	255	E14	Sample 110	23.25		0	
True	255	E15	Sample 111	23.18		0	
True	255	E16	Sample 112	23.24		0	
True	255	E17	Sample 113	23.23		0	
True	255	E18	Sample 114	23.29		0	
True	255	E19	Sample 115	23.43		0	
True	255	E20	Sample 116	23.52		0	
