matches,qName,tName,tStart,tEnd,qStarts,tStarts
83,0,chrX,73852670,73852753,0,73852670
83,1,chrX,73852587,73852670,0,73852587
21,1,chr2,201666109,201666130,18,201666109
20,1,chr13,96352749,96352769,47,96352749
83,10,chrX,73851840,73851923,0,73851840
83,11,chrX,73851757,73851840,0,73851757
22,11,chr3,90148724,90148747,46,90148724
83,12,chrX,73851674,73851757,0,73851674
21,12,chr3,141777815,141777836,50,141777815
83,13,chrX,73851591,73851674,0,73851591
83,15,chrX,73851425,73851508,0,73851425
83,16,chrX,73851342,73851425,0,73851342
24,16,chr13,98329164,98329189,"37,55","98329164,98329183"
21,16,chrY,15720259,15720280,1,15720259
83,17,chrX,73851259,73851342,0,73851259
23,17,chr7,120506478,120506502,"53,57","120506478,120506483"
83,18,chrX,73851176,73851259,0,73851176
83,20,chrX,73851010,73851093,0,73851010
20,20,chr2,1748446,1748466,19,1748446
83,21,chrX,73850927,73851010,0,73850927
83,22,chrX,73850844,73850927,0,73850844
23,22,chr1,171312673,171312698,"24,29","171312673,171312680"
83,23,chrX,73850761,73850844,0,73850761
83,4,chrX,73852338,73852421,0,73852338
24,4,chr20,19149373,19149397,"52,59","19149373,19149379"
22,4,chr18,42938103,42938125,52,42938103
22,4,chr13,70568015,70568038,55,70568015
20,4,chr17,53676275,53676295,0,53676275
83,5,chrX,73852255,73852338,0,73852255
83,7,chrX,73852089,73852172,0,73852089
83,8,chrX,73852006,73852089,0,73852006
23,8,chr5,24100673,24100696,11,24100673
22,8,chr8,108454780,108454803,16,108454780
83,25,chrX,73850595,73850678,0,73850595
23,25,chr8,142197102,142197126,27,142197102
21,25,chr1,89799127,89799148,50,89799127
20,25,chrX,54451246,54451266,0,54451246
83,27,chrX,73850429,73850512,0,73850429
22,27,chr2,198316445,198316468,"20,38","198316445,198316464"
83,28,chrX,73850346,73850429,0,73850346
24,28,chr3,94151768,94151792,"6,25","94151768,94151786"
22,28,chr8_KZ208915v1_fix,4156624,4156647,"18,35","4156624,4156642"
20,28,chr14,74868179,74868199,22,74868179
83,32,chrX,73850014,73850097,0,73850014
83,33,chrX,73849931,73850014,0,73849931
20,33,chrX,82074577,82074597,47,82074577
83,35,chrX,73849765,73849848,0,73849765
83,36,chrX,73849682,73849765,0,73849682
21,36,chr5,21040506,21040527,55,21040506
83,38,chrX,73849516,73849599,0,73849516
83,39,chrX,73849433,73849516,0,73849433
23,39,chr6,69152266,69152296,"16,22","69152266,69152279"
83,40,chrX,73849350,73849433,0,73849350
83,41,chrX,73849267,73849350,0,73849267
83,42,chrX,73849184,73849267,0,73849184
20,42,chr4_KQ090014v1_alt,93490,93510,33,93490
20,42,chr4,65970018,65970038,33,65970018
20,42,chr2,68778845,68778865,33,68778845
83,43,chrX,73849101,73849184,0,73849101
83,45,chrX,73848935,73849018,0,73848935
22,45,chr11,5205898,5205921,49,5205898
20,45,chr18,32446115,32446135,59,32446115
83,46,chrX,73848852,73848935,0,73848852
20,46,chr1,191600127,191600147,40,191600127
83,47,chrX,73848769,73848852,0,73848769
20,47,chr8_KZ208915v1_fix,2628543,2628563,41,2628543
20,47,chr8,10718630,10718650,22,10718630
83,49,chrX,73848603,73848686,0,73848603
20,49,chr11,43073397,43073417,62,43073397
83,50,chrX,73848520,73848603,0,73848520
83,51,chrX,73848437,73848520,0,73848437
83,52,chrX,73848354,73848437,0,73848354
33,52,chrX,73847630,73847663,10,73847630
83,53,chrX,73848271,73848354,0,73848271
23,53,chr4,159517084,159517111,"53,60","159517084,159517095"
22,53,chr3,61535780,61535804,9,61535780
20,53,chr2,77374918,77374938,42,77374918
20,53,chr17,17736681,17736701,27,17736681
83,54,chrX,73848188,73848271,0,73848188
83,55,chrX,73848105,73848188,0,73848105
22,55,chrX,117735324,117735347,11,117735324
20,55,chr1,172947498,172947518,5,172947498
83,57,chrX,73847939,73848022,0,73847939
83,59,chrX,73847773,73847856,0,73847773
83,65,chrX,73847275,73847358,0,73847275
83,66,chrX,73847192,73847275,0,73847192
22,66,chr10,133506759,133506781,48,133506759
83,67,chrX,73847109,73847192,0,73847109
24,67,chr19,42883194,42883230,"23,40","42883194,42883223"
83,68,chrX,73847026,73847109,0,73847026
83,70,chrX,73846860,73846943,0,73846860
83,71,chrX,73846777,73846860,0,73846777
20,71,chr6,109366975,109366995,44,109366975
20,71,chr6,54932703,54932723,63,54932703
83,72,chrX,73846694,73846777,0,73846694
24,72,chr7,55043604,55043629,"20,27","55043604,55043610"
21,72,chr11,55804124,55804145,30,55804124
20,72,chr4,74651952,74651972,22,74651952
83,74,chrX,73846528,73846611,0,73846528
47,74,chrX,73844521,73844570,34,73844521
21,74,chr3,12320188,12320209,26,12320188
20,74,chr16,19438254,19438274,47,19438254
83,75,chrX,73846445,73846528,0,73846445
33,75,chrX,73844159,73844200,"12,41","73844159,73844189"
83,77,chrX,73846279,73846362,0,73846279
67,77,chrX,73845114,73845189,"7,37","73845114,73845143"
54,77,chrX,73844829,73844896,"13,45","73844829,73844860"
83,78,chrX,73846196,73846279,0,73846196
58,78,chrX,73845908,73845968,0,73845908
57,78,chrX,73845314,73845374,0,73845314
